labels,precision,recall,f1-score,support
amusement,0.9475636903289636,0.9478762886597938,0.947719963717325,12125.0
excitement,0.9192368839427663,0.9277920410783055,0.9234946494170261,3116.0
joy,0.9329349953641702,0.9300605936119954,0.931495577041761,9737.0
love,0.9557076446280992,0.9708776072412436,0.9632329016724149,7623.0
desire,0.9233762346602814,0.962708690903417,0.9426323428309525,6409.0
optimism,0.8946015424164524,0.8900255754475703,0.8923076923076924,2346.0
caring,0.9078557312252964,0.9306153456571283,0.9190946604976866,3949.0
pride,0.85579589572934,0.8847477064220184,0.8700310121229208,1744.0
admiration,0.951671511627907,0.9647297172852012,0.958156125668816,10859.0
gratitude,0.9338677354709419,0.9516678012253234,0.942683749157114,2938.0
relief,0.8686720469552458,0.8942598187311178,0.8812802381838482,1324.0
approval,0.9592854843900869,0.9329368495187417,0.9459277184908954,12779.0
realization,0.8644899701237729,0.8877931185623493,0.8759865931452049,4563.0
surprise,0.8865295288652952,0.912568306010929,0.8993604846852912,2928.0
curiosity,0.9250834298167949,0.9657992036405005,0.9450029568302779,14064.0
confusion,0.893569844789357,0.8032688857883197,0.8460165844442112,5017.0
fear,0.8481868469575906,0.9157266091572661,0.8806636885768986,1507.0
nervousness,0.5164835164835165,0.706766917293233,0.5968253968253968,133.0
remorse,0.89171974522293,0.8682170542635659,0.8798114689709348,645.0
embarrassment,0.7909967845659164,0.8723404255319149,0.8296795952782462,282.0
disappointment,0.8767498478393183,0.8740898058252428,0.875417806137952,3296.0
sadness,0.9496957403651115,0.9276798097879929,0.9385586849754435,5047.0
grief,0.8404255319148937,0.8851540616246498,0.8622100954979536,357.0
disgust,0.849797934440952,0.9005472281703545,0.8744368718955758,4203.0
anger,0.9,0.8892025405786874,0.8945686900958466,4251.0
annoyance,0.8124472319382463,0.8158914728682171,0.8141657097963377,8256.0
disapproval,0.8833078951019842,0.840285110876452,0.8612595548941352,7576.0
neutral,0.9313466367120391,0.890397978521794,0.9104120914610515,15830.0
accuracy,0.9152932558991262,0.9152932558991262,0.9152932558991262,0.9152932558991262
macro avg,0.8825499957813311,0.8980009487244044,0.8893726037364004,152904.0
weighted avg,0.9156472355768167,0.9152932558991262,0.9151627700638777,152904.0
