labels,precision,recall,f1-score,support
amusement,0.7431086402594395,0.7937319587628866,0.7675865369277397,12125.0
excitement,0.8952569169960475,0.8722721437740694,0.8836150845253576,3116.0
joy,0.6378572651035427,0.7655335318886721,0.6958875974420016,9737.0
love,0.7209445332677408,0.7689885871704053,0.7441919512504761,7623.0
desire,0.9078237410071942,0.9450772351380871,0.9260759880743062,6409.0
optimism,0.8620543293718166,0.8657289002557544,0.8638877073585708,2346.0
caring,0.9101418812401472,0.8771840972398075,0.8933591231463572,3949.0
pride,0.8047593293672255,0.8532110091743119,0.8282772056777067,1744.0
admiration,0.923673651359786,0.9539552444976517,0.9385702636586029,10859.0
gratitude,0.9255813953488372,0.9482641252552757,0.9367854741089442,2938.0
relief,0.8553030303030303,0.8527190332326284,0.8540090771558245,1324.0
approval,0.8620955910740483,0.8736990374833712,0.8678585308977846,12779.0
realization,0.8131868131868132,0.8433048433048433,0.827972027972028,4563.0
surprise,0.7009228187919463,0.5706967213114754,0.6291415662650602,2928.0
curiosity,0.9252439952931405,0.9504408418657565,0.9376731787731051,14064.0
confusion,0.8003069249952043,0.8315726529798685,0.8156402737047899,5017.0
fear,0.7680511182108626,0.7976111479761114,0.7825520833333334,1507.0
nervousness,0.743801652892562,0.6766917293233082,0.7086614173228346,133.0
remorse,0.8553654743390358,0.8527131782945736,0.8540372670807453,645.0
embarrassment,0.8049645390070922,0.8049645390070922,0.8049645390070922,282.0
disappointment,0.8556571068389537,0.8237257281553398,0.8393878497449374,3296.0
sadness,0.7275883193792118,0.7059639389736477,0.7166130329847143,5047.0
grief,0.7941176470588235,0.8319327731092437,0.8125854993160054,357.0
disgust,0.8292966930600838,0.8472519628836546,0.8381781805343063,4203.0
anger,0.8336892052194543,0.8266290284638909,0.8301441058351051,4251.0
annoyance,0.7763897564022486,0.7527858527131783,0.7644056331098948,8256.0
disapproval,0.8095238095238095,0.8706441393875396,0.8389722716865937,7576.0
neutral,0.9689359467973399,0.6994946304485155,0.812458727712965,15830.0
accuracy,0.8292654214409041,0.8292654214409041,0.8292654214409041,0.8292654214409041
macro avg,0.8234157902034085,0.8234567361453916,0.8219104355216852,152904.0
weighted avg,0.8355280437312618,0.8292654214409041,0.8293654304624263,152904.0
